topic,pair_id,replicate,control_mean,treatment_mean,delta,control_id,treatment_id
Abortion,pair-00,1,3.125,1.875,-1.25,20260901-220209_abortion_pair-00_control,20260901-222849_abortion_pair-00_treatment
Abortion,pair-00,2,3,2.25,-0.75,20260901-220317_abortion_pair-00_control,20260901-222928_abortion_pair-00_treatment
Abortion,pair-01,1,3.375,2.5,-0.875,20260901-230150_abortion_pair-01_control,20260901-232737_abortion_pair-01_treatment
Abortion,pair-01,2,3.375,1.75,-1.625,20260901-230246_abortion_pair-01_control,20260901-232855_abortion_pair-01_treatment
Abortion,pair-02,1,3.125,1.625,-1.5,20260902-000153_abortion_pair-02_control,20260902-003022_abortion_pair-02_treatment
Abortion,pair-02,2,3.25,2,-1.25,20260902-000245_abortion_pair-02_control,20260902-003207_abortion_pair-02_treatment
Abortion,pair-03,1,3.125,2.25,-0.875,20260902-010208_abortion_pair-03_control,20260902-012918_abortion_pair-03_treatment
Abortion,pair-03,2,3.25,2.75,-0.5,20260902-010303_abortion_pair-03_control,20260902-013159_abortion_pair-03_treatment
Abortion,pair-04,1,3.25,1.75,-1.5,20260902-020328_abortion_pair-04_control,20260902-022809_abortion_pair-04_treatment
Abortion,pair-04,2,3.25,1.875,-1.375,20260902-020750_abortion_pair-04_control,20260902-023707_abortion_pair-04_treatment
Abortion,pair-05,1,3.125,2.375,-0.75,20260902-030118_abortion_pair-05_control,20260902-032304_abortion_pair-05_treatment
Abortion,pair-05,2,2.875,2.5,-0.375,20260902-030641_abortion_pair-05_control,20260902-033538_abortion_pair-05_treatment
Drug Legalization,pair-00,1,3.125,2.125,-1.0,20260902-040412_drug-legalization_pair-00_control,20260902-042557_drug-legalization_pair-00_treatment
Drug Legalization,pair-00,2,3,1.875,-1.125,20260902-040924_drug-legalization_pair-00_control,20260902-043837_drug-legalization_pair-00_treatment
Drug Legalization,pair-01,1,3,2,-1,20260902-050452_drug-legalization_pair-01_control,20260902-052857_drug-legalization_pair-01_treatment
Drug Legalization,pair-01,2,3.25,2,-1.25,20260902-051257_drug-legalization_pair-01_control,20260902-054155_drug-legalization_pair-01_treatment
Drug Legalization,pair-02,1,3.25,1.75,-1.5,20260902-060703_drug-legalization_pair-02_control,20260902-062848_drug-legalization_pair-02_treatment
Drug Legalization,pair-02,2,2.75,1.5,-1.25,20260902-061550_drug-legalization_pair-02_control,20260902-064014_drug-legalization_pair-02_treatment
Drug Legalization,pair-03,1,2.875,1.75,-1.125,20260902-070509_drug-legalization_pair-03_control,20260902-072749_drug-legalization_pair-03_treatment
Drug Legalization,pair-03,2,3.125,1.75,-1.375,20260902-071108_drug-legalization_pair-03_control,20260902-074000_drug-legalization_pair-03_treatment
Drug Legalization,pair-04,1,3.25,2,-1.25,20260902-080429_drug-legalization_pair-04_control,20260902-082649_drug-legalization_pair-04_treatment
